CLAVE,Year,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,UE,micro_firms,small_firms,medium_firms,big_firms
32014,2015,0,0.015706806282722512,0.005235602094240838,0.028795811518324606,0.010471204188481676,0.10209424083769633,0,0.09162303664921466,0.005235602094240838,0,0.13612565445026178,0.007853403141361256,0.02356020942408377,0.5287958115183246,0.005235602094240838,0.03926701570680628,382,95.81,4.19,0,0
32014,2019,0,0.007481296758104738,0.0024937655860349127,0.02743142144638404,0.004987531172069825,0.11221945137157108,0,0.09725685785536159,0.004987531172069825,0.0024937655860349127,0.1371571072319202,0.017456359102244388,0.014962593516209476,0.5087281795511222,0.007481296758104738,0.05486284289276808,401,96.26,3.74,0,0
32015,2015,0,0.02127659574468085,0,0.06382978723404255,0,0.0851063829787234,0,0.06382978723404255,0.0425531914893617,0,0.14893617021276595,0,0.0425531914893617,0.5106382978723404,0,0.02127659574468085,47,100,0,0,0
32015,2019,0,0.022222222222222223,0,0.1111111111111111,0,0.06666666666666667,0,0.08888888888888889,0.022222222222222223,0,0.17777777777777778,0,0.044444444444444446,0.4444444444444444,0,0.022222222222222223,45,100,0,0,0
32016,2015,0,0.02195945945945946,0,0.02195945945945946,0.005067567567567568,0.09966216216216216,0,0.0929054054054054,0.008445945945945946,0,0.1554054054054054,0,0.0033783783783783786,0.5523648648648649,0.0016891891891891893,0.037162162162162164,592,96.62,3.21,0,0.17
32016,2019,0,0.010344827586206896,0,0.015517241379310345,0,0.10344827586206896,0,0.10517241379310345,0.006896551724137931,0.0017241379310344827,0.16896551724137931,0.0034482758620689655,0.0034482758620689655,0.5293103448275862,0.0017241379310344827,0.05,580,97.59,2.07,0.17,0.17
32017,2015,2.955519432540269e-4,0.023200827545441113,0.012708733559923156,0.017733116595241613,0.009309886212501848,0.12206295256391311,1.4777597162701344e-4,0.10285207625240136,0.004876607063691443,5.911038865080538e-4,0.16462243239249297,0.02024530811290084,0.02482636323333826,0.4572188562139796,0.008423230382739767,0.030885178070045812,6767,91.38,7.21,1.05,0.35
32017,2019,2.620888481195125e-4,0.015201153190931726,0.016511597431529287,0.018084130520246364,0.015201153190931726,0.13667933429432577,0,0.1036561394312672,0.0028829773293146377,9.173109684182938e-4,0.17717206132879046,0.023587996330756127,0.021884418817979295,0.4283842222513432,0.006683265627047569,0.03289215043899882,7631,88.52,9.89,1.31,0.18
32018,2015,0,0.018867924528301886,0,0.009433962264150943,0.009433962264150943,0.16037735849056603,0,0.09433962264150944,0.018867924528301886,0,0.11320754716981132,0.009433962264150943,0,0.5566037735849056,0,0.009433962264150943,106,98.11,1.89,0,0
32018,2019,0.007751937984496124,0.007751937984496124,0,0.015503875968992248,0.007751937984496124,0.17054263565891473,0,0.17829457364341086,0.015503875968992248,0,0.12403100775193798,0.015503875968992248,0.015503875968992248,0.4108527131782946,0.015503875968992248,0.015503875968992248,129,95.35,4.65,0,0
32019,2015,0.0027223230490018148,0.019056261343012703,0.004537205081669692,0.015426497277676952,0.012704174228675136,0.14156079854809436,0,0.08348457350272233,0.007259528130671506,9.074410163339383e-4,0.1588021778584392,0.028130671506352088,0.014519056261343012,0.4664246823956443,0.0054446460980036296,0.03901996370235935,1102,94.37,5.17,0.36,0.09
32019,2019,0.003281378178835111,0.012305168170631665,0.004101722723543888,0.015586546349466776,0.009023789991796555,0.1616078753076292,0,0.0844954881050041,0.003281378178835111,0.002461033634126333,0.16406890894175555,0.030352748154224774,0.017227235438884332,0.4495488105004102,0.004101722723543888,0.03855619360131255,1219,93.44,6.15,0.41,0
32020,2015,0.0021244309559939304,0.023975720789074353,0.002731411229135053,0.019726858877086494,0.006980273141122913,0.125948406676783,0,0.14021244309559938,0.005462822458270106,0,0.17936267071320183,0.02063732928679818,0.01456752655538695,0.43186646433990894,0.004552352048558422,0.021851289833080424,3295,94.26,5.34,0.24,0.15
32020,2019,0.0024161073825503354,0.01476510067114094,0.004026845637583893,0.020134228187919462,0.00697986577181208,0.14093959731543623,0,0.16026845637583892,0.002953020134228188,5.369127516778523e-4,0.1795973154362416,0.024697986577181207,0.016912751677852347,0.39677852348993287,0.003221476510067114,0.025771812080536912,3725,92.75,6.79,0.3,0.11
32021,2015,0,0.023622047244094488,0,0.047244094488188976,0.007874015748031496,0.03937007874015748,0,0.13385826771653545,0.007874015748031496,0,0.12598425196850394,0.007874015748031496,0.007874015748031496,0.5826771653543307,0,0.015748031496062992,127,100,0,0,0
32021,2019,0.01020408163265306,0.01020408163265306,0,0.061224489795918366,0.01020408163265306,0.08163265306122448,0,0.1326530612244898,0.01020408163265306,0,0.11224489795918367,0.01020408163265306,0,0.5612244897959183,0,0,98,96.94,3.06,0,0
32022,2015,0,0.01132404181184669,0,0.02613240418118467,0.008710801393728223,0.1480836236933798,0,0.10017421602787456,0.006097560975609756,0,0.16898954703832753,0.013066202090592335,0.013066202090592335,0.45993031358885017,0.013066202090592335,0.0313588850174216,1148,94.77,4.88,0.35,0
32022,2019,7.668711656441718e-4,0.00843558282208589,7.668711656441718e-4,0.023006134969325152,0.006901840490797546,0.15184049079754602,0,0.10736196319018405,0.006134969325153374,7.668711656441718e-4,0.18174846625766872,0.015337423312883436,0.010736196319018405,0.4401840490797546,0.007668711656441718,0.03834355828220859,1304,93.63,6.06,0.15,0
32023,2015,0,0.02364394993045897,0.0013908205841446453,0.027816411682892908,0.013908205841446454,0.12656467315716272,0,0.07788595271210014,0.005563282336578581,0,0.16411682892906815,0.031988873435326845,0.009735744089012517,0.48400556328233657,0.004172461752433936,0.02920723226703755,719,97.5,2.5,0,0
32023,2019,0.0014970059880239522,0.011976047904191617,0,0.02245508982035928,0.008982035928143712,0.13023952095808383,0,0.07934131736526946,0.0029940119760479044,0,0.1497005988023952,0.02844311377245509,0.014970059880239521,0.5074850299401198,0.005988023952095809,0.03592814371257485,668,95.81,3.59,0.6,0
32024,2015,5.058168942842691e-4,0.018715225088517955,0,0.023773394031360646,0.013151239251390997,0.1345472938796156,0,0.07890743550834597,0.0035407182599898838,0,0.18411734951947395,0.012139605462822459,0.017703591299949417,0.4673748103186646,0.008598887202832575,0.03692463328275165,1977,96,3.44,0.3,0.25
32024,2019,9.876543209876543e-4,0.01037037037037037,9.876543209876543e-4,0.017777777777777778,0.008395061728395062,0.13333333333333333,0,0.07308641975308643,0.003950617283950617,0,0.18666666666666668,0.01728395061728395,0.023703703703703703,0.48641975308641977,0.0034567901234567903,0.03358024691358025,2025,94.07,5.53,0.35,0.05
