CLAVE,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,micro_firms,small_firms,medium_firms,big_firms
15095,0,0.02730179013267755,0.002700325547359556,0.01473819622002375,0.00946062074284781,0.14912013284610692,2.378686964795433e-4,0.08036198471711789,0.002903029781683907,0,0.13986497718378577,0.00952542797475366,0.015570736657702151,0.5054247721720653,0.01394082024450054,0.028849317082895717,91.375,6.015,1.31,1.04
15096,5.818769707658597e-4,0.026251937363048476,0.0030991128213350436,0.01602266046710491,0.0026521832077387635,0.09221447277002832,0,0.12245537384426274,0.004655015766126877,0,0.13803110469777136,0.01667201111645556,0.010014162791940569,0.5368606701940035,0.005616348671904227,0.024873069317513763,95.71000000000001,3.76,0.27,0.235
15097,0.0010706638115631692,0.02281401515571779,0,0.011605330019638083,0.01075933918407651,0.14489465333791923,0,0.09464002396511743,0.008168665608946978,0,0.11700469316883204,0.009464002396511744,0.004732001198255872,0.50217461250845985,0.003436664410691105,0.06923533523427011,96.745,3.255,0,0
15098,0,0.02935150670119227,0.006165286590975917,0.026268863405704314,0.001607717041800643,0.16646273795634978,0,0.18161037285756293,0.0014749262536873156,0,0.13268645249409555,0.009247929886463876,0.009247929886463876,0.42541900236177904,0.0029498525073746312,0.007507422056549905,96.315,2.625,1.055,0
15099,6.700853571665092e-4,0.02420769128883573,0.002323012717010956,0.013639312772445546,0.011405444187721894,0.1300301931940846,0,0.07423392943166603,0.0030949158513680648,5.456516791570984e-4,0.15695417519280244,0.02577609266485067,0.011949116660397078,0.5184454144096989,0.002766186883483484,0.023958777709310958,93.205,5.71,0.73,0.27
15100,2.2841480127912289e-4,0.019794410382905775,5.256799618023095e-4,0.010879714755813442,0.0022622842892442976,0.08347936308936316,0,0.09388038451907141,0.002171570206453302,0,0.14809427094395336,0.005644778861337277,0.007747498708546516,0.578193502372961,0.0021934339300002338,0.0449046931772689,97.16499999999999,2.38,0.275,0.19
15101,7.412828153656368e-4,0.02598195259125519,0.0014205622962699545,0.017640890136547214,0.013630915266054828,0.11064468135127996,0,0.16787900446047416,0.002239584650287744,5.201017231278086e-4,0.13558643049627955,0.017446541289916833,0.009124913719871893,0.47018762666299396,0.005592472122709038,0.02136304041756623,95.025,3.9000000000000004,0.72,0.265
15102,0.012762501450284255,0.026540201879568397,0,0.018679661213597865,0.004901960784313725,0.1076836059867734,0,0.10717600649727346,0.005409560273813667,0,0.10370982712611672,0.007352941176470588,0,0.5787359322427196,0.005409560273813667,0.021638241095254668,94.39500000000001,4.815,0,0.295
15103,0,0.021913230327241212,9.162912266747394e-4,0.01428630786672919,0.0025939490351340605,0.104533771791843,0,0.07432208101589413,0.0035102402618088,6.323616412119341e-4,0.13946858670338955,0.012518227883666036,0.010492138019457586,0.588175866183096,0.0036651649066989575,0.02297178313715481,96.63,3.025,0.15500000000000003,0.19
15104,1.0900145946773256e-4,0.023479884626708816,0.004542479018726172,0.014243641690319208,0.013894363292721925,0.12708935117123177,3.4702662523010267e-4,0.08812904030670257,0.002887436305055663,7.785859252620448e-5,0.167847142178207,0.025793378359507554,0.012112541519262037,0.46672115879786047,0.008909218605573031,0.043816477450899734,88.66,8.445,1.595,1.04
15105,0.010021116817233321,0.018680261398708,0,0.031625245217478226,0.007097249815696418,0.11940373105421649,0,0.13652209768714624,0.010958253676700279,0,0.13328585173245366,0.006784870862540765,0.01711836663292974,0.4717109620022242,0.005166747885194487,0.031625245217478226,97.28999999999999,2.39,0.325,0
15106,1.0254135490968895e-4,0.025384421719110317,0.004085024241510296,0.012380571997718873,0.01114045653335809,0.1147080510413162,1.1300642251402566e-4,0.09430775245898454,0.002728508999502441,1.4105932673877245e-4,0.16046768352832072,0.02157532076228537,0.010751170192383225,0.49367067712320556,0.006860488497376534,0.04158326580076535,92.215,6.275,0.905,0.47
15107,0,0.015358294966957937,0.0027619875348429326,0.012633499326630961,0.004198769144038335,0.20483533778070093,0,0.08333137586520092,0.004954351843151994,0.0014367816091954023,0.1131436155219393,0.01740189169720317,0.011233909611951517,0.5077907231670269,0.001399589714679445,0.019519872216480313,96.495,3.295,0.135,0.07
15108,0,0.023994487381939857,0.0013615071157927969,0.01253201982765629,0.005092400613193581,0.10894601477003839,0,0.0875376965476701,0.002637254248698775,0,0.1580522197862103,0.0112803596700796,0.013405965159926087,0.5446215854232612,0.0019521663290824245,0.028586323126450583,96.88,2.81,0.19,0.09000000000000001
15109,8.522464553712687e-5,0.021796308763141155,0.0018043163777146628,0.014871408803980284,0.007630071339395172,0.11035964974851115,6.16827041697508e-5,0.09095378394205857,0.002042104074461289,0,0.17101031921986903,0.01178891730470762,0.01150112059372548,0.5176920138167111,0.005884150247420504,0.03251892841859716,94.47999999999999,4.23,0.67,0.49
15110,0.00461171486224854,0.0172680939366924,0.0032454755664816275,0.02701188171333161,0.017945429881066025,0.17673338762614607,0,0.07348767837467415,0.0037621530800265933,0,0.10630633999062923,0.018627497946493148,0.014359708968713084,0.5098078174639804,0.004443169562997383,0.02238965102651974,91.985,7.195,0.585,0.24
15111,0.004755707592771621,0.020569643786718227,0.0038707518405592324,0.010892764185320146,0.010727299769465308,0.13227485684539303,0,0.1028556555365509,0.007576039265263628,0,0.1036829776158251,0.011612255521677698,0.004755707592771621,0.5565107458912768,0.0019353759202796162,0.027980218636127017,96.67,3.0300000000000002,0.3,0
